season,dic-mar,dic-mar,dic-mar,dic-mar,jun-sep,jun-sep,jun-sep,mar-jun,mar-jun,mar-jun,mar-jun,sep-dic,sep-dic,sep-dic,sep-dic,total_anomalies
variable,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,temperature_2m_max,wind_speed_10m_max,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,
city_name,,,,,,,,,,,,,,,,
Kigali,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,14.0
Kingston,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0
Kingstown,2.0,0.0,0.0,1.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0
Kinshasa,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0
Koror,9.0,0.0,0.0,1.0,11.0,0.0,1.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,39.0
Kralendijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0
Krung Thep (Bangkok),1.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0
Kuala Lumpur,6.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,24.0
Kyiv (Kiev),0.0,14.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,36.0
København (Copenhagen),1.0,15.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,27.0
La Habana (Havana),1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0
La Paz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
Lefkosia (Nicosia),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
Libreville,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,34.0
Lilongwe,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0
Lisboa (Lisbon),1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0
Ljubljana,2.0,6.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,22.0
Lomé,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0
London,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
Luanda,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
Lusaka,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Luxembourg,3.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0
Macao,3.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0
